# Format is:
# name, path, locationX, locationY, locationZ, scale, rotationX, rotationY, rotationZ, rotationW

# Objewwwcts
"DMC Bridge", "objects/bridge/bridge", 43.5f, 6.5f, 71.2f, 0.40f, 0f, 0.43f, 0f, 0.9260f
"ENS Bridge", "objects/bridge/bridge", -22f, 6.25f, 140f, 0.40f, 0f, 0.5120f, 0f, 0.8590f
# "Finish", "objects/finishLine/finishLine", -28.0f ,6.5f ,92.5f, 1f,0.0000f,0.8499f,0.0000f,0.5270f
"SSS Clock", "objects/sscClock/sscClock",-38.1f,7.0f,104.1f,0.15f,0.0000f,0.0000f,0.0000f,0.0000f
"Creation 1", "objects/creation/creation",-32.0f,7.15f,101.0f,0.13f,0.0000f,-0.5378f,0.0000f,0.8431f
"Creation 2", "objects/creation/creation",-31.5f,7f,103.0f,0.13f,0.0000f,-0.7249f,0.0000f,0.6888f
"Creation 3", "objects/creation/creation",-32.0f,7f,105.0f,0.13f,0.0000f,-0.8188f,0.0000f,0.5741f
"Creation 4", "objects/creation/creation",-33.0f,7f,107.0f,0.13f,0.0000f,0.8749f,0.0000f,-0.4843f
"Creation 5", "objects/creation/creation",-34.5f,7f,108.5f,0.13f,0.0000f,0.9477f,0.0000f,-0.3193f
"Creation 6", "objects/creation/creation",-36.5f,7.1f,110.0f,0.13f,0.0000f,0.9689f,0.0000f,-0.2475f
"Creation 7", "objects/creation/creation",-38.5f,7.1f,111.0f,0.13f,0.0000f,0.9929f,0.0000f,-0.1192f
"Rock", "objects/rock/rock",-22.0f,7.1f,93.0f,2.7f,0.0000f,0.8499f,0.0000f,0.5270f      
"Lake Wall 1", "objects/lakeWall/lakeWall",-9.6f,2.7f,92.7f,0.53f,0.0000f,0.2532f,0.0000f,0.9674f
"Lake Wall 2", "objects/lakeWall/lakeWall",-16.4f,2.7f,96.6f,0.53f,0.0000f,0.2532f,0.0000f,0.9674f
"Lake Wall 3", "objects/lakeWall/lakeWall",9.7f,2.7f,115.3f,0.53f,0.0000f,0.5191f,0.0000f,0.8547f
"BTS Statue", "objects/btsStatue/btsStatue",54.5f,7.8f,83.1f,0.55f,0.0000f,0.8663f,0.0000f,-0.4995f
"Golf Cart", "vehicles/golfCart/golfCart", 40.1f, 7.9f, 194.9f, 0.1f, 0f, 0f, 0f, 0f
"Flag Pole", "objects/flagpole/flagpole",13.3f,6.2f,116.7f,2f,0.01f,-0.35f,0f,-0.75f

# "Cup", "cup", -51f, 14.0f, 142f,0.1f,0f,0f,0f,0f

# Detailed Assets/Resources
"Yellow Jacket", "people/jacket/jacket", -30.0f ,8.4f ,92f, 2f,0.0000f,0f,0f,0.5270f
"Water Tower", "objects/tower/water_tower", -40.5f, 23.2f, -38f, 1.5f,0f, 4f,0f,0f
"Opened Eyes", "objects/openedEyes/statue",-10.8f,7f,89.5f,1f,0f,-0.1918f,0f,0f

# Lampposts
"Lamppost 1", "objects/lamppost/lamppost",21.1f,12.6f,23.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 2", "objects/lamppost/lamppost",9.9f,12.6f,18.8f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 3", "objects/lamppost/lamppost",2.7f,10.4f,30.7f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 4", "objects/lamppost/lamppost",-14.2f,11.6f,33.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 5", "objects/lamppost/lamppost",32.0f,12.5f,20.5f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 6", "objects/lamppost/lamppost",40.6f,8.9f,143.7f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 7", "objects/lamppost/lamppost",41.2f,7.9f,102.8f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 8", "objects/lamppost/lamppost",31.8f,7.9f,109.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 9", "objects/lamppost/lamppost",21.3f,7.9f,114.7f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 10", "objects/lamppost/lamppost",13.3f,7.9f,123.7f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 11", "objects/lamppost/lamppost",9.9f,7.9f,134.9f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 12", "objects/lamppost/lamppost",9.7f,7.9f,146.5f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 13", "objects/lamppost/lamppost",34.7f,13f,-55.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 14", "objects/lamppost/lamppost",36.5f,13f,-45.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 15", "objects/lamppost/lamppost",38.9f,13f,-33.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 16", "objects/lamppost/lamppost",40.7f,13f,-23.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 17", "objects/lamppost/lamppost",43.1f,13f,-11.8f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 18", "objects/lamppost/lamppost",45.7f,13f,1.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 19", "objects/lamppost/lamppost",47.9f,13f,12.4f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 20", "objects/lamppost/lamppost",49.7f,12f,21.8f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 21", "objects/lamppost/lamppost",47.0f,8.6f,112.6f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 22", "objects/lamppost/lamppost",50.4f,9.7f,128.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 23", "objects/lamppost/lamppost",55.8f,10f,139.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
